raceId,driverId,constructorId,qualifying_position,starting_grid,race_finish_position,year,race_name,driver_name,nationality,constructor_name,position_change
21,8,6,1,1,1,2008,Spanish Grand Prix,Kimi Räikkönen,Finnish,Ferrari,0
21,4,4,2,2,15,2008,Spanish Grand Prix,Fernando Alonso,Spanish,Renault,-13
21,13,6,3,3,2,2008,Spanish Grand Prix,Felipe Massa,Brazilian,Ferrari,1
21,9,2,4,4,4,2008,Spanish Grand Prix,Robert Kubica,Polish,BMW Sauber,0
21,1,1,5,5,3,2008,Spanish Grand Prix,Lewis Hamilton,British,McLaren,2
21,5,1,6,6,17,2008,Spanish Grand Prix,Heikki Kovalainen,Finnish,McLaren,-11
21,17,9,7,7,5,2008,Spanish Grand Prix,Mark Webber,Australian,Red Bull,2
21,15,7,8,8,8,2008,Spanish Grand Prix,Jarno Trulli,Italian,Toyota,0
21,2,2,9,9,9,2008,Spanish Grand Prix,Nick Heidfeld,German,BMW Sauber,0
21,12,4,10,10,20,2008,Spanish Grand Prix,Nelson Piquet Jr.,Brazilian,Renault,-10
21,22,11,11,11,16,2008,Spanish Grand Prix,Rubens Barrichello,Brazilian,Honda,-5
21,6,3,12,12,7,2008,Spanish Grand Prix,Kazuki Nakajima,Japanese,Williams,5
21,18,11,13,13,6,2008,Spanish Grand Prix,Jenson Button,British,Honda,7
21,10,7,14,14,11,2008,Spanish Grand Prix,Timo Glock,German,Toyota,3
21,3,3,15,15,14,2008,Spanish Grand Prix,Nico Rosberg,German,Williams,1
21,7,5,16,16,19,2008,Spanish Grand Prix,Sébastien Bourdais,French,Toro Rosso,-3
21,14,9,17,17,12,2008,Spanish Grand Prix,David Coulthard,British,Red Bull,5
21,20,5,18,18,22,2008,Spanish Grand Prix,Sebastian Vettel,German,Toro Rosso,-4
21,21,10,19,19,10,2008,Spanish Grand Prix,Giancarlo Fisichella,Italian,Force India,9
21,16,10,20,20,21,2008,Spanish Grand Prix,Adrian Sutil,German,Force India,-1
21,19,8,21,21,18,2008,Spanish Grand Prix,Anthony Davidson,British,Super Aguri,3
21,11,8,22,22,13,2008,Spanish Grand Prix,Takuma Sato,Japanese,Super Aguri,9
22,13,6,1,1,1,2008,Turkish Grand Prix,Felipe Massa,Brazilian,Ferrari,0
22,5,1,2,2,12,2008,Turkish Grand Prix,Heikki Kovalainen,Finnish,McLaren,-10
22,1,1,3,3,2,2008,Turkish Grand Prix,Lewis Hamilton,British,McLaren,1
22,8,6,4,4,3,2008,Turkish Grand Prix,Kimi Räikkönen,Finnish,Ferrari,1
22,9,2,5,5,4,2008,Turkish Grand Prix,Robert Kubica,Polish,BMW Sauber,1
22,17,9,6,6,7,2008,Turkish Grand Prix,Mark Webber,Australian,Red Bull,-1
22,4,4,7,7,6,2008,Turkish Grand Prix,Fernando Alonso,Spanish,Renault,1
22,15,7,8,8,10,2008,Turkish Grand Prix,Jarno Trulli,Italian,Toyota,-2
22,2,2,9,9,5,2008,Turkish Grand Prix,Nick Heidfeld,German,BMW Sauber,4
22,14,9,10,10,9,2008,Turkish Grand Prix,David Coulthard,British,Red Bull,1
22,3,3,11,11,8,2008,Turkish Grand Prix,Nico Rosberg,German,Williams,3
22,22,11,12,12,14,2008,Turkish Grand Prix,Rubens Barrichello,Brazilian,Honda,-2
22,18,11,13,13,11,2008,Turkish Grand Prix,Jenson Button,British,Honda,2
22,20,5,14,14,17,2008,Turkish Grand Prix,Sebastian Vettel,German,Toro Rosso,-3
22,10,7,15,15,13,2008,Turkish Grand Prix,Timo Glock,German,Toyota,2
22,6,3,16,16,19,2008,Turkish Grand Prix,Kazuki Nakajima,Japanese,Williams,-3
22,12,4,17,17,15,2008,Turkish Grand Prix,Nelson Piquet Jr.,Brazilian,Renault,2
22,7,5,18,18,18,2008,Turkish Grand Prix,Sébastien Bourdais,French,Toro Rosso,0
22,21,10,19,20,20,2008,Turkish Grand Prix,Giancarlo Fisichella,Italian,Force India,-1
22,16,10,20,19,16,2008,Turkish Grand Prix,Adrian Sutil,German,Force India,4
23,13,6,1,1,3,2008,Monaco Grand Prix,Felipe Massa,Brazilian,Ferrari,-2
23,8,6,2,2,9,2008,Monaco Grand Prix,Kimi Räikkönen,Finnish,Ferrari,-7
23,1,1,3,3,1,2008,Monaco Grand Prix,Lewis Hamilton,British,McLaren,2
23,5,1,4,4,8,2008,Monaco Grand Prix,Heikki Kovalainen,Finnish,McLaren,-4
23,9,2,5,5,2,2008,Monaco Grand Prix,Robert Kubica,Polish,BMW Sauber,3
23,3,3,6,6,16,2008,Monaco Grand Prix,Nico Rosberg,German,Williams,-10
23,4,4,7,7,10,2008,Monaco Grand Prix,Fernando Alonso,Spanish,Renault,-3
23,15,7,8,8,13,2008,Monaco Grand Prix,Jarno Trulli,Italian,Toyota,-5
23,17,9,9,9,4,2008,Monaco Grand Prix,Mark Webber,Australian,Red Bull,5
23,14,9,10,15,19,2008,Monaco Grand Prix,David Coulthard,British,Red Bull,-9
23,10,7,11,10,12,2008,Monaco Grand Prix,Timo Glock,German,Toyota,-1
23,18,11,12,11,11,2008,Monaco Grand Prix,Jenson Button,British,Honda,1
23,2,2,13,12,14,2008,Monaco Grand Prix,Nick Heidfeld,German,BMW Sauber,-1
23,6,3,14,13,7,2008,Monaco Grand Prix,Kazuki Nakajima,Japanese,Williams,7
23,22,11,15,14,6,2008,Monaco Grand Prix,Rubens Barrichello,Brazilian,Honda,9
23,7,5,16,16,20,2008,Monaco Grand Prix,Sébastien Bourdais,French,Toro Rosso,-4
23,12,4,17,17,17,2008,Monaco Grand Prix,Nelson Piquet Jr.,Brazilian,Renault,0
23,20,5,18,19,5,2008,Monaco Grand Prix,Sebastian Vettel,German,Toro Rosso,13
23,16,10,19,18,15,2008,Monaco Grand Prix,Adrian Sutil,German,Force India,4
23,21,10,20,20,18,2008,Monaco Grand Prix,Giancarlo Fisichella,Italian,Force India,2
24,1,1,1,1,19,2008,Canadian Grand Prix,Lewis Hamilton,British,McLaren,-18
24,9,2,2,2,1,2008,Canadian Grand Prix,Robert Kubica,Polish,BMW Sauber,1
24,8,6,3,3,18,2008,Canadian Grand Prix,Kimi Räikkönen,Finnish,Ferrari,-15
24,4,4,4,4,16,2008,Canadian Grand Prix,Fernando Alonso,Spanish,Renault,-12
24,3,3,5,5,10,2008,Canadian Grand Prix,Nico Rosberg,German,Williams,-5
24,13,6,6,6,5,2008,Canadian Grand Prix,Felipe Massa,Brazilian,Ferrari,1
24,5,1,7,7,9,2008,Canadian Grand Prix,Heikki Kovalainen,Finnish,McLaren,-2
24,2,2,8,8,2,2008,Canadian Grand Prix,Nick Heidfeld,German,BMW Sauber,6
24,22,11,9,9,7,2008,Canadian Grand Prix,Rubens Barrichello,Brazilian,Honda,2
24,17,9,10,10,12,2008,Canadian Grand Prix,Mark Webber,Australian,Red Bull,-2
24,10,7,11,11,4,2008,Canadian Grand Prix,Timo Glock,German,Toyota,7
24,6,3,12,12,15,2008,Canadian Grand Prix,Kazuki Nakajima,Japanese,Williams,-3
24,14,9,13,13,3,2008,Canadian Grand Prix,David Coulthard,British,Red Bull,10
24,15,7,14,14,6,2008,Canadian Grand Prix,Jarno Trulli,Italian,Toyota,8
24,12,4,15,15,17,2008,Canadian Grand Prix,Nelson Piquet Jr.,Brazilian,Renault,-2
24,7,5,16,18,13,2008,Canadian Grand Prix,Sébastien Bourdais,French,Toro Rosso,3
24,16,10,17,16,20,2008,Canadian Grand Prix,Adrian Sutil,German,Force India,-3
24,21,10,18,17,14,2008,Canadian Grand Prix,Giancarlo Fisichella,Italian,Force India,4
24,18,11,19,20,11,2008,Canadian Grand Prix,Jenson Button,British,Honda,8
24,20,5,20,19,8,2008,Canadian Grand Prix,Sebastian Vettel,German,Toro Rosso,12
25,8,6,1,1,2,2008,French Grand Prix,Kimi Räikkönen,Finnish,Ferrari,-1
25,13,6,2,2,1,2008,French Grand Prix,Felipe Massa,Brazilian,Ferrari,1
25,1,1,3,13,10,2008,French Grand Prix,Lewis Hamilton,British,McLaren,-7
25,4,4,4,3,8,2008,French Grand Prix,Fernando Alonso,Spanish,Renault,-4
25,15,7,5,4,3,2008,French Grand Prix,Jarno Trulli,Italian,Toyota,2
25,5,1,6,10,4,2008,French Grand Prix,Heikki Kovalainen,Finnish,McLaren,2
25,9,2,7,5,5,2008,French Grand Prix,Robert Kubica,Polish,BMW Sauber,2
25,17,9,8,6,6,2008,French Grand Prix,Mark Webber,Australian,Red Bull,2
25,14,9,9,7,9,2008,French Grand Prix,David Coulthard,British,Red Bull,0
25,10,7,10,8,11,2008,French Grand Prix,Timo Glock,German,Toyota,-1
25,12,4,11,9,7,2008,French Grand Prix,Nelson Piquet Jr.,Brazilian,Renault,4
25,2,2,12,11,13,2008,French Grand Prix,Nick Heidfeld,German,BMW Sauber,-1
25,20,5,13,12,12,2008,French Grand Prix,Sebastian Vettel,German,Toro Rosso,1
25,7,5,14,14,17,2008,French Grand Prix,Sébastien Bourdais,French,Toro Rosso,-3
25,3,3,15,19,16,2008,French Grand Prix,Nico Rosberg,German,Williams,-1
25,6,3,16,15,15,2008,French Grand Prix,Kazuki Nakajima,Japanese,Williams,1
25,18,11,17,16,20,2008,French Grand Prix,Jenson Button,British,Honda,-3
