qualifying_position,actual_finish,predicted_finish,error
11,20,11.081230332032145,8.918769667967855
15,16,13.376540961212008,2.623459038787992
24,20,18.540989876866693,1.4590101231333072
4,5,7.064436730967389,-2.0644367309673894
19,18,15.671851590391867,2.328148409608133
16,14,13.950368618506971,0.049631381493028925
20,13,16.245679247686834,-3.2456792476868337
21,17,16.819506904981797,0.18049309501820332
8,7,9.35974736014725,-2.3597473601472494
15,20,13.376540961212008,6.623459038787992
20,8,16.245679247686834,-8.245679247686834
14,20,12.802713303917042,7.1972866960829585
11,9,11.081230332032145,-2.0812303320321455
16,16,13.950368618506971,2.049631381493029
6,8,8.21209204555732,-0.21209204555731986
1,1,5.342953759082494,-4.342953759082494
20,15,16.245679247686834,-1.2456792476868337
11,6,11.081230332032145,-5.0812303320321455
24,10,18.540989876866693,-8.540989876866693
5,2,7.638264388262355,-5.638264388262355
14,13,12.802713303917042,0.19728669608295846
14,17,12.802713303917042,4.1972866960829585
14,17,12.802713303917042,4.1972866960829585
18,18,15.0980239330969,2.9019760669030994
13,16,12.228885646622075,3.771114353377925
19,18,15.671851590391867,2.328148409608133
4,6,7.064436730967389,-1.0644367309673894
4,3,7.064436730967389,-4.064436730967389
21,22,16.819506904981797,5.180493095018203
1,4,5.342953759082494,-1.3429537590824943
3,2,6.490609073672424,-4.490609073672424
4,4,7.064436730967389,-3.0644367309673894
2,9,5.916781416377459,3.083218583622541
19,17,15.671851590391867,1.3281484096081329
16,16,13.950368618506971,2.049631381493029
22,19,17.393334562276763,1.6066654377232368
16,9,13.950368618506971,-4.950368618506971
16,13,13.950368618506971,-0.9503686185069711
7,6,8.785919702852286,-2.7859197028522864
18,15,15.0980239330969,-0.0980239330969006
4,2,7.064436730967389,-5.064436730967389
6,20,8.21209204555732,11.78790795444268
14,13,12.802713303917042,0.19728669608295846
6,3,8.21209204555732,-5.21209204555732
10,20,10.50740267473718,9.49259732526282
2,3,5.916781416377459,-2.916781416377459
16,8,13.950368618506971,-5.950368618506971
12,9,11.655057989327112,-2.655057989327112
6,5,8.21209204555732,-3.21209204555732
16,20,13.950368618506971,6.049631381493029
13,16,12.228885646622075,3.771114353377925
20,16,16.245679247686834,-0.2456792476868337
18,16,15.0980239330969,0.9019760669030994
8,2,9.35974736014725,-7.359747360147249
10,3,10.50740267473718,-7.507402674737181
5,20,7.638264388262355,12.361735611737645
14,18,12.802713303917042,5.1972866960829585
11,21,11.081230332032145,9.918769667967855
17,10,14.524196275801938,-4.524196275801938
7,13,8.785919702852286,4.214080297147714
1,20,5.342953759082494,14.657046240917506
17,23,14.524196275801938,8.475803724198062
20,18,16.245679247686834,1.7543207523131663
2,3,5.916781416377459,-2.916781416377459
19,11,15.671851590391867,-4.671851590391867
1,3,5.342953759082494,-2.3429537590824943
4,18,7.064436730967389,10.93556326903261
14,19,12.802713303917042,6.1972866960829585
18,9,15.0980239330969,-6.098023933096901
8,18,9.35974736014725,8.64025263985275
15,12,13.376540961212008,-1.376540961212008
11,19,11.081230332032145,7.9187696679678545
12,8,11.655057989327112,-3.655057989327112
19,15,15.671851590391867,-0.6718515903918671
10,20,10.50740267473718,9.49259732526282
14,9,12.802713303917042,-3.8027133039170415
8,5,9.35974736014725,-4.359747360147249
20,17,16.245679247686834,0.7543207523131663
